"","V1","V2","V3","V4"
"Group.1",1,2,3,4
"Demosponge",-0.00561237936089754,-0.173421078474493,2.52157629766959,0.0766932116793788
"Hexactinellid",-0.0255208838823066,-0.261063925433637,0.297136646040386,3.53447386438394
"Halipteris.sp",0.189226486325846,-0.106030966176545,0.564794754137432,-0.0991068287622849
"Primnoidae",-0.0183422233078527,-0.137869444236949,2.23595806434093,-0.0813898385475437
"Stylasteridae",-0.00154092443314336,-0.135259832156379,1.83200466442862,0.171968360108621
"Plexauridae",-0.0261102917572763,-0.134407867530887,2.2377476258084,-0.0885046324739232
"Plumarella.sp",-0.00139151033558252,-0.161553020851966,2.55145764847864,-0.142268327442411
"Ptilosarcus.gurneyi",-0.0145973434865211,-0.0404710035213519,0.730050410897144,-0.0425383258519042
"Fanellia.sp",0.0384339310117115,-0.105389749981624,1.42989838774667,-0.0893119027582675
"Arthrogorgia.sp",-0.00106637597490887,-0.0788295951518118,1.25412617668013,-0.075948270024258
"Calcigorgia.sp",-0.0342677385289559,-0.100688226702019,1.78847411255547,-0.0908209737978578
"Muriceides.sp",-0.0617420067000016,-0.0998341855770761,1.92558368337015,-0.0799266498517907
"Alaskagorgia.aleutiana",-0.0614878957265481,-0.106773698414002,2.02473062606991,-0.0778592709138289
"cluster",1,2,3,4
