"","Species.standard","Family","Species.group"
"1","Acanthogorgia.sp","Acanthogorgiidae","Coral"
"2","Acanthogorgiidae","Acanthogorgiidae","Coral"
"3","Calcigorgia.sp","Acanthogorgiidae","Coral"
"4","Antipatharia","Antipatharia","Coral"
"5","Coral","Coral","Coral"
"6","Gorgonacea","Gorgonacea","Coral"
"7","Isididae","Isididae","Coral"
"8","Paragorgia.sp","Paragorgiidae","Coral"
"9","Alaskagorgia.aleutiana","Plexauridae","Coral"
"10","Muriceides.sp","Plexauridae","Coral"
"11","Plexauridae","Plexauridae","Coral"
"12","Swiftia.sp","Plexauridae","Coral"
"13","Arthrogorgia.sp","Primnoidae","Coral"
"14","Fanellia.sp","Primnoidae","Coral"
"15","Plumarella.aleutiana","Primnoidae","Coral"
"16","Plumarella.sp","Primnoidae","Coral"
"17","Primnoa.pacifica","Primnoidae","Coral"
"18","Primnoidae","Primnoidae","Coral"
"19","Thouarella.sp","Primnoidae","Coral"
"20","Stylasteridae","Stylasteridae","Hydrozoan"
"21","Halipteris.sp","Pennatulidae","SeaWhipPen"
"22","Pennatulacean","Pennatulidae","SeaWhipPen"
"23","Ptilosarcus.gurneyi","Pennatulidae","SeaWhipPen"
"24","Calcarea","Calcarea","Sponge"
"25","Demosponge","Demosponge","Sponge"
"26","Hexactinellid","Hexactinellid","Sponge"
"27","Porifera","Porifera","Sponge"
