"","habitat_type"
"1",""
"2"," "
"3","B"
"4","boulder"
"5","Boulder"
"6","Boulders"
"7","C"
"8","cobble"
"9","Cobble"
"10","G"
"11","gravel"
"12","Gravel"
"13","Gravel, Sand, Pebble"
"14","high bedrock"
"15","High Bedrock"
"16","K"
"17","low bedrock"
"18","Low Bedrock"
"19","M"
"20","MC"
"21","Mixed Coarse"
"22","Mud"
"23","Mud/Silt"
"24","OB"
"25","off bottom"
"26","Off Bottom"
"27","Pebble"
"28","R"
"29","S"
"30","sand"
"31","Sand"
"32","b"
"33","c"
"34","g"
"35","k"
"36","m"
"37","mc"
"38","mixed coarse"
"39","ob"
"40","r"
"41","s"
